Location,City,State,Country,CountryCode,Locality,LocalityGeneral,LocalitySpecific,LocalityType,GPSAltitude,GPSAltitudeRef,GPSDestBearing,GPSDestBearingRef,GPSDOP,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSMapDatum,GPSProcessingMethod,GPSSpeed,GPSSpeedRef,GPSTimeStamp,GPSVersionID,Threshold,Show on Map
-,Agassiz,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.23,N,-121.77,W,-,-,-,-,-,-,5000,Show on Map
-,Crescent Beach,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.62,N,-119.66,W,-,-,-,-,-,-,5000,Show on Map
-,Toronto,Ontario,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,43.65,N,-79.38,W,-,-,-,-,-,-,5000,Show on Map
-,Biloxi,Mississippi,United States of America,USA,-,-,-,-,-,-,-,-,-,-,-,-,30.4,N,-88.89,W,-,-,-,-,-,-,5000,Show on Map
-,Baldy Hughes,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,53.62,N,-122.94,W,-,-,-,-,-,-,5000,Show on Map
-,West Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.33,N,-123.16,W,-,-,-,-,-,-,5000,Show on Map
-,North Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.32,N,-123.07,W,-,-,-,-,-,-,5000,Show on Map
-,Frank,Alberta,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.6,N,-114.41,W,-,-,-,-,-,-,5000,Show on Map
-,Roosville,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49,N,-115.06,W,-,-,-,-,-,-,5000,Show on Map
-,Fernie,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.5,N,-115.06,W,-,-,-,-,-,-,5000,Show on Map
-,Eureka,Montana,United States of America,USA,-,-,-,-,-,-,-,-,-,-,-,-,48.88,N,-115.05,W,-,-,-,-,-,-,5000,Show on Map
-,Ladysmith,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.99,N,-123.82,W,-,-,-,-,-,-,5000,Show on Map
-,Burnaby,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.24,N,-122.97,W,-,-,-,-,-,-,5000,Show on Map
-,Regina,Saskatchewan,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,50.45,N,-104.62,W,-,-,-,-,-,-,5000,Show on Map
-,Moosejaw,Saskatchewan,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,50.4,N,-105.55,W,-,-,-,-,-,-,5000,Show on Map
-,Lethbridge,Alberta,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.69,N,-112.83,W,-,-,-,-,-,-,5000,Show on Map
-,Fort Steele,Alberta,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,53.6,N,-113.42,W,-,-,-,-,-,-,5000,Show on Map
-,Duncan,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.78,N,-123.71,W,-,-,-,-,-,-,5000,Show on Map
-,Powell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.84,N,-124.52,W,-,-,-,-,-,-,5000,Show on Map
-,Lake Louise,Alberta,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,51.42,N,-116.18,W,-,-,-,-,-,-,5000,Show on Map
-,Cranmore,Alberta,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,51.09,N,-115.36,W,-,-,-,-,-,-,5000,Show on Map
-,Texada Island,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.65,N,-124.37,W,-,-,-,-,-,-,5000,Show on Map
-,Abbotsford,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.05,N,-122.33,W,-,-,-,-,-,-,5000,Show on Map
-,Richmond,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.16,N,-123.14,W,-,-,-,-,-,-,5000,Show on Map
-,Midwest City,Oklahoma,United States of America,USA,-,-,-,-,-,-,-,-,-,-,-,-,35.45,N,-97.4,W,-,-,-,-,-,-,5000,Show on Map
-,Esquimalt,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.43,N,-123.41,W,-,-,-,-,-,-,5000,Show on Map
-,Coleman,Alberta,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.64,N,-114.5,W,-,-,-,-,-,-,5000,Show on Map
-,Osoyoos,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.03,N,-119.47,W,-,-,-,-,-,-,5000,Show on Map
-,Alert Bay,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,50.58,N,-126.92,W,-,-,-,-,-,-,5000,Show on Map
-,Port McNeill,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,50.59,N,-127.08,W,-,-,-,-,-,-,5000,Show on Map
-,Campbell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,50.02,N,-125.24,W,-,-,-,-,-,-,5000,Show on Map
-,Dartmouth,Nova Scotia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,44.68,N,-63.57,W,-,-,-,-,-,-,5000,Show on Map
-,Hatzic,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.15,N,-122.26,W,-,-,-,-,-,-,5000,Show on Map
-,Bella Coola,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,52.37,N,-126.76,W,-,-,-,-,-,-,5000,Show on Map
-,Hell's Gate,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.78,N,-121.45,W,-,-,-,-,-,-,5000,Show on Map
-,Barkerville,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,53.07,N,-121.52,W,-,-,-,-,-,-,5000,Show on Map
-,Cobble Hill,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.68,N,-123.6,W,-,-,-,-,-,-,5000,Show on Map
-,Sooke,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.38,N,-123.73,W,-,-,-,-,-,-,5000,Show on Map
-,Aldergrove,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.06,N,-122.49,W,-,-,-,-,-,-,5000,Show on Map
-,Port Macquarie,New South Wales,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-31.43,S,152.91,E,-,-,-,-,-,-,5000,Show on Map
-,Shawnigan Lake,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.65,N,-123.62,W,-,-,-,-,-,-,5000,Show on Map
-,Kauai,Hawaii,United States of America,USA,-,-,-,-,-,-,-,-,-,-,-,-,22.05,N,-159.56,W,-,-,-,-,-,-,5000,Show on Map
-,East Sooke,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.35,N,-123.66,W,-,-,-,-,-,-,5000,Show on Map
-,Perth,Western Australia,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-31.96,S,115.86,E,-,-,-,-,-,-,5000,Show on Map
-,Britannia Beach,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.63,N,-123.21,W,-,-,-,-,-,-,5000,Show on Map
-,Coombs,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.3,N,-124.42,W,-,-,-,-,-,-,5000,Show on Map
-,Mill Bay,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.65,N,-123.55,W,-,-,-,-,-,-,5000,Show on Map
-,Galiano Island,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.94,N,-123.47,W,-,-,-,-,-,-,5000,Show on Map
-,Parksville,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.32,N,-124.31,W,-,-,-,-,-,-,5000,Show on Map
-,Comox,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.67,N,-124.93,W,-,-,-,-,-,-,5000,Show on Map
-,Lake Cowichan,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.83,N,-124.06,W,-,-,-,-,-,-,5000,Show on Map
-,Little River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,50.87,N,-119.58,W,-,-,-,-,-,-,5000,Show on Map
-,Hamilton,Victoria,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-37.74,S,142.02,E,-,-,-,-,-,-,5000,Show on Map
-,Tsawwassen,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49,N,-123.12,W,-,-,-,-,-,-,5000,Show on Map
-,Surrey,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.19,N,-122.85,W,-,-,-,-,-,-,5000,Show on Map
-,Port Alberni,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.23,N,-124.81,W,-,-,-,-,-,-,5000,Show on Map
-,Ucluelet,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.94,N,-125.55,W,-,-,-,-,-,-,5000,Show on Map
-,Tofino,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.15,N,-125.9,W,-,-,-,-,-,-,5000,Show on Map
-,Chemainus,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.92,N,-123.72,W,-,-,-,-,-,-,5000,Show on Map
-,Port Renfrew,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.55,N,-124.42,W,-,-,-,-,-,-,5000,Show on Map
-,Noda,Chiba Prefecture,Japan,JPN,-,-,-,-,-,-,-,-,-,-,-,-,35.95,N,139.87,E,-,-,-,-,-,-,5000,Show on Map
-,Asakusa,Tokyo,Japan,JPN,-,-,-,-,-,-,-,-,-,-,-,-,35.71,N,139.73,E,-,-,-,-,-,-,5000,Show on Map
-,Fushimi-ku,Kyoto Prefecture,Japan,JPN,-,-,-,-,-,-,-,-,-,-,-,-,34.95,N,135.77,E,-,-,-,-,-,-,5000,Show on Map
-,Kyoto,Kyoto Prefecture,Japan,JPN,-,-,-,-,-,-,-,-,-,-,-,-,35.02,N,135.76,E,-,-,-,-,-,-,5000,Show on Map
-,Golden,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,51.3,N,-116.96,W,-,-,-,-,-,-,5000,Show on Map
-,Errington,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.29,N,-124.37,W,-,-,-,-,-,-,5000,Show on Map
-,Louisianaweg,Willemstad,Curacao,CUW,-,-,-,-,-,-,-,-,-,-,-,-,12.15,N,-68.95,W,-,-,-,-,-,-,5000,Show on Map
-,San Juan,Puerto Rico,United States of America,USA,-,-,-,-,-,-,-,-,-,-,-,-,18.47,N,-66.12,W,-,-,-,-,-,-,5000,Show on Map
-,Guanica,Puerto Rico,United States of America,USA,-,-,-,-,-,-,-,-,-,-,-,-,17.97,N,-66.91,W,-,-,-,-,-,-,5000,Show on Map
-,Ponce,Puerto Rico,United States of America,USA,-,-,-,-,-,-,-,-,-,-,-,-,18.01,N,-66.61,W,-,-,-,-,-,-,5000,Show on Map
-,Kelowna,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.89,N,-119.5,W,-,-,-,-,-,-,5000,Show on Map
-,Sydney,New South Wales,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-33.87,S,151.21,E,-,-,-,-,-,-,5000,Show on Map
-,Denarau Island,Viti Levu,Fiji,FJI,-,-,-,-,-,-,-,-,-,-,-,-,-17.77,S,177.37,E,-,-,-,-,-,-,5000,Show on Map
-,Airlie Beach,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-20.27,S,148.72,E,-,-,-,-,-,-,5000,Show on Map
-,Blackheath,New South Wales,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-33.63,S,150.28,E,-,-,-,-,-,-,5000,Show on Map
-,Katoomba,New South Wales,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-33.71,S,150.31,E,-,-,-,-,-,-,5000,Show on Map
-,Jenolan Caves,New South Wales,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-33.82,S,150.02,E,-,-,-,-,-,-,5000,Show on Map
-,Hamilton Island,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-20.35,S,148.96,E,-,-,-,-,-,-,5000,Show on Map
-,Ballarat,Victoria,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-37.56,S,143.86,E,-,-,-,-,-,-,5000,Show on Map
-,Fremantle,Western Australia,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-32.05,S,115.76,E,-,-,-,-,-,-,5000,Show on Map
-,West Swan,Western Australia,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-31.85,S,115.98,E,-,-,-,-,-,-,5000,Show on Map
-,Woodbridge,Western Australia,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-31.89,S,115.99,E,-,-,-,-,-,-,5000,Show on Map
-,Nadi,Viti Levu,Fiji,FJI,-,-,-,-,-,-,-,-,-,-,-,-,-17.77,S,177.43,E,-,-,-,-,-,-,5000,Show on Map
-,South Sea Island,Mamanuca Islands,Fiji,FJI,-,-,-,-,-,-,-,-,-,-,-,-,-17.69,S,177.31,E,-,-,-,-,-,-,5000,Show on Map
-,Seattle,Washington,United States of America,USA,-,-,-,-,-,-,-,-,-,-,-,-,47.6,N,-122.33,W,-,-,-,-,-,-,5000,Show on Map
-,Siem Reap,Siem Reap,Cambodia,KHM,-,-,-,-,-,-,-,-,-,-,-,-,13.36,N,103.86,E,-,-,-,-,-,-,5000,Show on Map
-,Bangkok,Bangkok,Thailand,THA,-,-,-,-,-,-,-,-,-,-,-,-,13.75,N,100.49,E,-,-,-,-,-,-,5000,Show on Map
-,Phnom Penh,Phnom Penh,Cambodia,KHM,-,-,-,-,-,-,-,-,-,-,-,-,11.57,N,104.92,E,-,-,-,-,-,-,5000,Show on Map
-,Tha Ma Kham,Kanchanaburi Province,Thailand,THA,-,-,-,-,-,-,-,-,-,-,-,-,14.04,N,99.5,E,-,-,-,-,-,-,5000,Show on Map
-,Damnoen Saduak District,Ratchaburi,Thailand,THA,-,-,-,-,-,-,-,-,-,-,-,-,13.57,N,99.96,E,-,-,-,-,-,-,5000,Show on Map
-,Samut Songkhram,Bangkok,Thailand,THA,-,-,-,-,-,-,-,-,-,-,-,-,13.47,N,99.94,E,-,-,-,-,-,-,5000,Show on Map
-,Ho Chi Minh City,Ho Chi Minh City,Vietnam,VNM,-,-,-,-,-,-,-,-,-,-,-,-,10.8,N,106.64,E,-,-,-,-,-,-,5000,Show on Map
-,Mekong Delta,Mekong,Vietnam,VNM,-,-,-,-,-,-,-,-,-,-,-,-,49.97,N,8.05,E,-,-,-,-,-,-,5000,Show on Map
-,Sidney,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.65,N,-123.4,W,-,-,-,-,-,-,5000,Show on Map
-,Qualicum Bay,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.4,N,-124.61,W,-,-,-,-,-,-,5000,Show on Map
-,Lund,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.98,N,-124.76,W,-,-,-,-,-,-,5000,Show on Map
-,Gabriola Island,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.16,N,-123.81,W,-,-,-,-,-,-,5000,Show on Map
-,Mayne Island,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.84,N,-123.29,W,-,-,-,-,-,-,5000,Show on Map
-,BC Ferries,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.12,N,-123.08,W,-,-,-,-,-,-,5000,Show on Map
-,Cultus Lake,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.06,N,-121.98,W,-,-,-,-,-,-,5000,Show on Map
-,Yarrow,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.08,N,-122.06,W,-,-,-,-,-,-,5000,Show on Map
-,Columbia Valley,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.01,N,-122.03,W,-,-,-,-,-,-,5000,Show on Map
-,Dallas,Texas,United States of America,USA,-,-,-,-,-,-,-,-,-,-,-,-,-23.65,S,-46.51,W,-,-,-,-,-,-,5000,Show on Map
-,Lake Cathie,New South Wales,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-31.55,S,152.85,E,-,-,-,-,-,-,5000,Show on Map
-,Cairns,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-16.92,S,145.77,E,-,-,-,-,-,-,5000,Show on Map
-,Kuranada,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-16.82,S,145.6,E,-,-,-,-,-,-,5000,Show on Map
-,Rex Lookout,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-16.65,S,145.57,E,-,-,-,-,-,-,5000,Show on Map
-,Mossman,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-16.46,S,145.37,E,-,-,-,-,-,-,5000,Show on Map
-,Daintree Rainforest,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-16.17,S,145.42,E,-,-,-,-,-,-,5000,Show on Map
-,Port Douglas,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-16.5,S,145.46,E,-,-,-,-,-,-,5000,Show on Map
-,Melbourne,Victoria,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-37.81,S,144.96,E,-,-,-,-,-,-,5000,Show on Map
-,Bittern,Victoria,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-38.34,S,145.18,E,-,-,-,-,-,-,5000,Show on Map
-,Somersby,New South Wales,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-33.37,S,151.28,E,-,-,-,-,-,-,5000,Show on Map
-,Wangetti,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-16.64,S,145.56,E,-,-,-,-,-,-,5000,Show on Map
-,Crib Point,Victoria,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-38.37,S,145.2,E,-,-,-,-,-,-,5000,Show on Map
-,Arthurs Seat,Victoria,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-38.35,S,144.95,E,-,-,-,-,-,-,5000,Show on Map
-,Stony Point,Victoria,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-38.37,S,145.22,E,-,-,-,-,-,-,5000,Show on Map
-,Qualicum Beach,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.35,N,-124.44,W,-,-,-,-,-,-,5000,Show on Map
-,-,Victoria,Australia,AUS,-,Great Ocean Road,12 Apostles,Landmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,New South Wales,Australia,AUS,-,Blue Mountains,Jenolan Caves,Cave,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,Victoria,Australia,AUS,-,Grampians National Park,Mount William,Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,Victoria,Australia,AUS,-,Great Ocean Road,Bay of Islands,Landmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,Victoria,Australia,AUS,-,Great Ocean Road,London Bridge,Landmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,Victoria,Australia,AUS,-,Great Ocean Road,The Arch,Landmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,Victoria,Australia,AUS,-,Great Ocean Road,The Blowhole,Landmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,Victoria,Australia,AUS,-,Great Ocean Road,The Grotto,Landmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,Queensland,Australia,AUS,-,Captain Cook Highway,Wangetti Beach Gatz Balancing Rocks,Beach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Shields Lake,Lake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Crabapple Lake,Lake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Sooke River,River,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Mystic Beach,Beach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Horne Lake,Lake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Horne Lake,Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Mount Survey,Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Cathedral Grove,Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Horne Lake,Cave,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Horne Lake,Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Mount Work,Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,China Beach,Beach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Forbidden Plateau,Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Strathcona Park - Forbidden Plateau,Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Upana Caves,Cave,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Highway,Park Bridge,Highway 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Mount Albert Edward,Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Albert Edward,Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Mount Arrowsmith,Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Juan de Fuca Marine Trail,Trail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Mount Heather,Mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,Parksville,British Columbia,Canada,CAN,-,Vancouver Island,Little Qualicum Falls Park,Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Muir Creek,Creek,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Galloping Goose Trail,Trail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
